authors,dates,statements,sources,targets,FinalTarget,BinaryTarget
Loreben Tuquero,"April 21, 2026",Video shows President Donald Trump at the Walter Reed National Military Medical Center.,Facebook posts,false,Fake,0
Zoe Weyand,"April 20, 2026","President Donald Trump's proposed 2027 military budget would be ""the largest spending increase since World War II.”",Democratic National Committee,mostly-true,Real,1
Loreben Tuquero,"April 20, 2026","Video shows the United States’ April 19, 2026, strike on an Iranian cargo ship.",Social Media,false,Fake,0
Amy Sherman,"April 17, 2026","“83% of us favor requiring a photo ID to vote. In fact, most of the civilized world requires it but not us.”",Restoration of America,half-true,Real,1
Maria Briceño,"April 16, 2026","El papa León XIV ""pide destituir a Donald Trump"".",Social Media,false,Fake,0
Louis Jacobson,"April 15, 2026",“Thom Tillis is no longer a senator.”,Donald Trump,false,Fake,0
Louis Jacobson,"April 14, 2026","The U.S. Navy was created ""to free international waters from the Barbary pirates.""",Byron Donalds,mostly-true,Real,1
Samantha Putterman,"April 13, 2026",“The Dignity Act is mass amnesty.”,Brandon Gill,half-true,Real,1
Maria Briceño,"April 13, 2026",Pope Leo XIV “thinks it’s OK for Iran to have a nuclear weapon.”,Donald Trump,pants-fire,Fake,0
Amy Sherman,"April 13, 2026",“Moulton voted with Republicans to thank ICE for protecting our homeland. He thanked ICE as they were terrorizing our communities and killed citizens in broad daylight.”,Commonwealth Together PAC,barely-true,Fake,0
Maria Briceño,"April 8, 2026",Photos and clips show the moon from Artemis II.,Social Media,false,Fake,0
Loreben Tuquero,"April 7, 2026",Video shows a US soldier crying and saying she misses home and her family.,Social Media,false,Fake,0
Maria Briceño,"April 6, 2026",Photos show rescues of U.S. F-15 airmen from Iran in April 2026.,Social Media,pants-fire,Fake,0
Jill Terreri,"• April 3,","As Nassau County Executive, I hired 600 new law enforcement officers and made Nassau the safest county in America.",Bruce Blakeman,barely-true,Fake,0
Louis Jacobson,"April 2, 2026","""Bombing civilian power infrastructure is a war crime.”",Seth Moulton,mostly-true,Real,1
Holden Turek,"April 1, 2026",New York leads the nation in population loss.,Marc Molinaro,half-true,Real,1
Louis Jacobson,"April 1, 2026",“We've had regime change.”,Donald Trump,barely-true,Fake,0
Emma Gavazzi,"March 31, 2026",Milk prices “currently are no higher than they were in 1980’s.”,Blake Gendebien,mostly-true,Real,1
Louis Jacobson,"March 31, 2026",“More Americans are working today than at any time in the history of our country.”,Donald Trump,half-true,Real,1
Maria Briceño,"March 30, 2026",Video shows ICE agent removing “US citizen on a plane for being Latino.”,Facebook posts,false,Fake,0
Loreben Tuquero,"March 30, 2026",Image shows President Donald Trump asked Florida Gov. Ron DeSantis on Truth Social to pardon Tiger Woods following a DUI charge.,Social Media,false,Fake,0
Amy Sherman,"March 25, 2026","""Mail-in voting means mail-in cheating.”",Donald Trump,pants-fire,Fake,0
Amy Sherman,"March 24, 2026","The SAVE America Act “requires everyone to re-register to vote in person and your driver’s license, REAL ID, or military ID aren’t even good enough.”",Mark Kelly,half-true,Real,1
Loreben Tuquero,"March 23, 2026",Video shows Israelis fleeing to Cyprus.,Social Media,false,Fake,0
Samantha Putterman,"March 23, 2026","""Youth underemployment for college grads is 70%"" nationwide.",James Fishback,false,Fake,0
